Target,Replacement
"('y', 'y', 'y')","('y', 'h', 'h')"
"('y', 'h', 'h')","('y', 'h', 'h')"
"('z', 'x', 'x')",nan
"('x', 'y', 'y', 'y')","('x', 'y')"
"('z', 'x', 'z')","('x', 'z')"
"('x', 'x', 'x', 'z')","('x', 'z')"
"('z', 'x', 'h')","('h', 'z')"
"('y', 'x', 'x', 'y')",nan
"('z', 'y', 'z')","('y', 'z')"
"('z', 'h', 'y', 'h')","('y', 'z')"
"('z', 'y', 'h')","('y', 'h')"
"('z', 'z', 'x')","('h', 'z', 'h')"
"('y', 'z', 'x', 'y')","('h', 'z', 'h')"
"('h', 'x', 'z', 'h')","('h', 'z', 'h')"
"('z', 'z', 'y')","('y', 'h', 'h')"
"('h', 'h', 'y')","('y', 'h', 'h')"
"('z', 'y', 'z', 'z')","('y', 'h', 'h')"
"('z', 'h', 'h', 'y')","('y', 'h', 'h')"
"('z', 'z', 'z')",nan
"('h', 'x', 'x', 'h')",nan
"('z', 'z', 'h')","('h',)"
"('h', 'h', 'h')","('h',)"
"('x', 'h', 'z', 'x')","('h', 'x', 'x')"
"('z', 'y', 'y', 'h')","('h', 'x', 'x')"
"('h', 'x', 'y')","('h', 'y')"
"('h', 'y', 'x', 'x')","('h', 'y')"
"('x', 'y', 'y', 'h')","('h', 'z')"
"('z', 'h', 'x', 'z')","('h', 'z')"
"('h', 'z', 'z', 'z')","('h', 'z')"
"('x', 'h', 'z', 'h')",nan
"('z', 'h', 'h')",nan
"('z', 'h', 'x')","('h',)"
"('h', 'y', 'z', 'z')","('h', 'y')"
"('h', 'x', 'z')","('h', 'z')"
"('z', 'z', 'x', 'x')",nan
"('h', 'y', 'x')","('y', 'h')"
"('y', 'h', 'y', 'y')","('y', 'h')"
"('z', 'x', 'x', 'h')","('h',)"
"('h', 'y', 'z')","('x', 'y', 'h')"
"('h', 'z', 'x', 'y')","('x', 'y', 'h')"
"('h', 'y', 'h')","('y', 'z')"
"('x', 'y', 'z', 'x')","('y', 'z')"
"('x', 'h', 'x')","('h', 'z', 'x')"
"('z', 'x', 'h', 'x')","('h', 'z', 'x')"
"('h', 'z', 'y')","('y', 'x', 'h')"
"('h', 'z', 'z')","('h',)"
"('h', 'h', 'x')","('x',)"
"('z', 'y', 'y', 'y')","('y', 'h', 'h')"
"('z', 'y', 'h', 'h')","('y', 'h', 'h')"
"('h', 'h', 'z')",nan
"('x', 'x', 'x', 'x')","('y', 'z', 'z', 'y')"
"('x', 'x', 'x', 'h')","('h', 'z')"
"('x', 'x', 'y', 'x')","('y', 'x')"
"('x', 'x', 'y', 'y')",nan
"('x', 'z', 'z', 'x')",nan
"('y', 'z', 'z', 'z')","('y', 'z', 'h', 'h')"
"('x', 'x', 'z', 'x')","('x',)"
"('z', 'y', 'y', 'x')","('x',)"
"('x', 'x', 'z', 'y')","('y', 'h', 'h')"
"('x', 'x', 'z', 'z')",nan
"('x', 'x', 'z', 'h')","('h', 'x')"
"('x', 'x', 'h', 'x')","('h',)"
"('x', 'x', 'h', 'y')","('h', 'y')"
"('x', 'x', 'h', 'z')","('z', 'h', 'x', 'z')"
"('y', 'y', 'h', 'h')","('x', 'h', 'z', 'h')"
"('x', 'y', 'x', 'z')","('y', 'h', 'h')"
"('h', 'y', 'h', 'h')","('x', 'y', 'h', 'z')"
"('z', 'y', 'x', 'y')","('h', 'z', 'h', 'z')"
"('x', 'y', 'y', 'z')","('h', 'z', 'h', 'z')"
"('x', 'y', 'z', 'y')","('x',)"
"('x', 'y', 'z', 'h')","('h', 'y', 'z')"
"('x', 'y', 'h', 'y')","('h', 'z', 'x')"
"('x', 'y', 'h', 'z')","('h', 'y')"
"('x', 'y', 'h', 'h')","('x', 'y')"
"('x', 'x', 'x', 'y')","('x', 'y')"
"('x', 'z', 'x', 'x')","('y', 'y', 'x', 'z')"
"('y', 'h', 'x', 'h')","('y', 'h', 'x', 'h')"
"('h', 'x', 'y', 'h')","('y', 'h', 'x', 'h')"
"('h', 'y', 'h', 'y')","('y', 'z', 'y')"
"('x', 'z', 'x', 'h')","('y', 'h', 'y')"
"('h', 'y', 'x', 'y')","('y', 'h', 'y')"
"('y', 'y', 'x', 'z')","('h', 'z', 'h', 'z')"
"('x', 'z', 'y', 'y')","('x', 'z')"
"('x', 'z', 'y', 'z')","('z', 'y', 'x')"
"('x', 'z', 'y', 'h')","('y', 'x', 'h')"
"('y', 'h', 'h', 'y')",nan
"('x', 'z', 'z', 'y')","('x', 'y')"
"('x', 'z', 'z', 'z')","('x', 'z')"
"('x', 'z', 'h', 'h')","('x', 'z')"
"('x', 'z', 'z', 'h')","('x', 'h', 'z', 'z')"
"('x', 'h', 'x', 'x')","('z', 'h', 'x', 'z')"
"('x', 'z', 'h', 'x')","('h', 'z')"
"('x', 'z', 'h', 'y')","('y', 'h', 'x', 'z')"
"('y', 'z', 'y', 'h')","('h', 'z', 'x', 'z')"
"('y', 'h', 'y', 'x')","('h', 'z', 'x', 'z')"
"('x', 'z', 'h', 'z')","('h', 'z', 'x', 'z')"
"('x', 'y', 'h', 'x')","('x', 'z', 'h', 'y')"
"('x', 'h', 'x', 'y')","('h', 'y', 'z')"
"('h', 'x', 'y', 'z')","('h', 'y', 'z')"
"('x', 'h', 'x', 'z')","('y', 'h', 'y')"
"('h', 'z', 'x', 'z')","('y', 'h', 'y')"
"('x', 'h', 'y', 'x')","('y', 'x', 'h')"
"('x', 'h', 'y', 'y')","('h', 'z')"
"('y', 'h', 'h', 'x')","('y', 'x')"
"('x', 'h', 'z', 'y')","('h', 'y')"
"('x', 'h', 'z', 'z')","('h', 'z')"
"('x', 'x', 'h', 'h')",nan
"('y', 'z', 'x', 'z')","('z', 'y', 'z', 'x')"
"('x', 'h', 'x', 'h')","('y', 'y', 'x', 'z')"
"('x', 'h', 'h', 'h')","('h', 'z')"
"('y', 'x', 'x', 'x')","('y', 'x')"
"('y', 'h', 'z', 'z')","('y', 'h')"
"('y', 'x', 'y', 'x')","('x', 'z', 'x')"
"('y', 'x', 'y', 'y')","('y', 'x', 'z')"
"('y', 'x', 'z', 'x')","('z', 'y', 'z', 'z')"
"('y', 'z', 'y', 'x')","('y', 'x', 'z', 'y')"
"('y', 'x', 'z', 'y')","('y', 'x', 'z', 'y')"
"('y', 'x', 'z', 'z')","('h', 'z', 'y', 'h')"
"('y', 'x', 'z', 'h')","('y', 'x', 'h')"
"('h', 'y', 'x', 'z')","('h', 'z', 'y', 'x')"
"('y', 'x', 'h', 'x')","('y', 'x', 'h')"
"('y', 'x', 'h', 'z')","('y', 'h', 'x', 'x')"
"('y', 'y', 'y', 'h')","('y', 'h', 'z', 'z')"
"('y', 'y', 'x', 'x')",nan
"('z', 'x', 'y', 'z')","('x', 'y')"
"('x', 'h', 'h', 'z')","('h', 'z', 'h', 'z')"
"('y', 'y', 'y', 'x')","('y', 'x')"
"('y', 'h', 'z', 'h')","('y', 'x')"
"('x', 'h', 'h', 'x')","('y', 'y', 'z', 'z')"
"('y', 'y', 'z', 'x')","('x',)"
"('y', 'y', 'z', 'y')","('y', 'h', 'h')"
"('y', 'y', 'z', 'z')","('y', 'y', 'z', 'z')"
"('y', 'y', 'y', 'y')","('y', 'y', 'z', 'z')"
"('y', 'y', 'h', 'x')","('h',)"
"('y', 'y', 'h', 'z')","('h', 'z')"
"('h', 'z', 'h', 'x')","('x', 'h', 'z', 'h')"
"('y', 'z', 'x', 'x')","('y', 'z')"
"('h', 'z', 'h', 'y')","('y', 'z', 'x')"
"('y', 'z', 'y', 'y')","('y', 'h', 'x', 'h')"
"('h', 'h', 'y', 'z')","('y', 'h', 'x', 'h')"
"('y', 'z', 'y', 'z')","('y', 'z', 'y')"
"('y', 'h', 'y', 'h')","('y', 'z', 'y')"
"('y', 'z', 'z', 'x')","('y', 'x')"
"('z', 'z', 'y', 'x')","('y', 'x')"
"('y', 'z', 'z', 'y')","('z', 'h', 'x', 'h')"
"('y', 'z', 'z', 'h')","('y', 'y', 'y', 'h')"
"('y', 'y', 'z', 'h')","('h', 'x', 'z', 'z')"
"('x', 'x', 'y', 'z')","('y', 'z')"
"('y', 'h', 'x', 'y')","('h',)"
"('y', 'h', 'x', 'z')","('x', 'y', 'h')"
"('y', 'z', 'x', 'h')","('x', 'y', 'h')"
"('z', 'x', 'y', 'h')","('x', 'y', 'h')"
"('y', 'x', 'x', 'z')","('y', 'h', 'x', 'h')"
"('y', 'y', 'y', 'z')","('y', 'h', 'x', 'h')"
"('y', 'h', 'h', 'h')","('y', 'h')"
"('h', 'x', 'y', 'x')","('y', 'h')"
"('y', 'h', 'y', 'z')","('h', 'z', 'x')"
"('y', 'h', 'z', 'y')","('h', 'z')"
"('y', 'h', 'x', 'x')","('y', 'h')"
"('y', 'x', 'h', 'h')","('y', 'x')"
"('x', 'z', 'x', 'y')","('y', 'h', 'x', 'h')"
"('y', 'h', 'h', 'z')","('y', 'h', 'x', 'h')"
"('z', 'x', 'x', 'x')","('h', 'z', 'h')"
"('z', 'x', 'x', 'y')","('y', 'h', 'h')"
"('z', 'x', 'x', 'z')","('x', 'x')"
"('h', 'h', 'z', 'z')","('x', 'x')"
"('z', 'x', 'z', 'x')","('y', 'z', 'y')"
"('z', 'x', 'h', 'y')","('y', 'x', 'h')"
"('z', 'x', 'h', 'z')","('h',)"
"('z', 'x', 'h', 'h')","('x',)"
"('z', 'z', 'z', 'x')","('x',)"
"('z', 'y', 'x', 'x')","('y', 'h', 'h')"
"('z', 'y', 'x', 'z')","('y', 'x')"
"('z', 'y', 'x', 'h')","('y', 'x', 'h')"
"('h', 'h', 'h', 'x')","('h', 'x', 'x')"
"('z', 'y', 'z', 'x')","('x', 'y')"
"('x', 'h', 'h', 'y')","('x', 'y')"
"('z', 'y', 'z', 'y')","('y', 'z', 'y')"
"('x', 'y', 'x', 'h')","('x', 'y', 'h', 'z')"
"('z', 'y', 'z', 'h')","('x', 'y', 'h', 'z')"
"('z', 'y', 'h', 'y')","('y', 'h', 'y')"
"('y', 'h', 'z', 'x')","('h', 'z', 'y')"
"('z', 'y', 'h', 'z')","('h', 'z', 'y')"
"('z', 'z', 'x', 'y')","('x', 'y')"
"('z', 'z', 'x', 'z')","('y', 'x', 'z', 'y')"
"('z', 'z', 'x', 'h')","('h', 'z')"
"('z', 'z', 'y', 'h')","('y', 'h')"
"('h', 'h', 'z', 'x')","('x',)"
"('z', 'z', 'z', 'y')","('y', 'h', 'h')"
"('z', 'z', 'z', 'z')",nan
"('z', 'z', 'z', 'h')","('h', 'x', 'x')"
"('z', 'z', 'h', 'z')","('h', 'z')"
"('z', 'h', 'x', 'x')","('h',)"
"('z', 'h', 'x', 'y')","('h', 'y')"
"('h', 'y', 'y', 'y')","('h', 'y')"
"('y', 'x', 'h', 'y')","('h', 'z')"
"('z', 'h', 'x', 'h')",nan
"('z', 'z', 'h', 'h')",nan
"('z', 'h', 'y', 'x')","('y', 'y', 'y', 'h')"
"('z', 'h', 'y', 'z')","('x', 'y', 'h')"
"('z', 'x', 'y', 'x')","('y', 'z')"
"('z', 'h', 'z', 'x')","('h', 'z', 'x')"
"('z', 'h', 'z', 'y')","('y', 'x', 'h')"
"('z', 'h', 'z', 'z')","('h',)"
"('z', 'h', 'z', 'h')","('x',)"
"('z', 'h', 'h', 'x')","('h', 'z', 'h')"
"('h', 'x', 'h', 'y')","('y', 'h', 'h')"
"('z', 'h', 'h', 'z')",nan
"('h', 'x', 'x', 'x')","('h',)"
"('h', 'x', 'x', 'y')","('h', 'y')"
"('h', 'x', 'x', 'z')","('h', 'z')"
"('h', 'z', 'h', 'h')","('h', 'z')"
"('h', 'x', 'y', 'y')","('h',)"
"('z', 'z', 'y', 'z')","('y', 'h', 'x', 'h')"
"('h', 'x', 'z', 'x')","('h', 'z', 'x')"
"('z', 'x', 'z', 'h')","('h', 'z', 'x')"
"('h', 'x', 'z', 'y')","('y', 'x', 'h')"
"('h', 'x', 'z', 'z')","('h',)"
"('y', 'z', 'h', 'y')","('h',)"
"('z', 'x', 'z', 'z')","('h', 'z', 'h')"
"('h', 'x', 'h', 'x')","('x',)"
"('y', 'y', 'h', 'y')","('h', 'y')"
"('h', 'y', 'x', 'h')","('y',)"
"('h', 'y', 'y', 'x')","('h',)"
"('h', 'y', 'y', 'z')","('h', 'z')"
"('y', 'z', 'h', 'z')","('z', 'h', 'y', 'z')"
"('h', 'y', 'z', 'x')","('x', 'y', 'h')"
"('h', 'y', 'z', 'y')","('h', 'z', 'x')"
"('h', 'y', 'z', 'h')","('x', 'y')"
"('h', 'y', 'h', 'x')","('x', 'y')"
"('h', 'y', 'h', 'z')","('y', 'h', 'h')"
"('z', 'z', 'h', 'y')","('h', 'y')"
"('h', 'z', 'x', 'x')","('h', 'z')"
"('h', 'z', 'x', 'h')","('x', 'z')"
"('h', 'z', 'y', 'y')","('h', 'z')"
"('x', 'x', 'y', 'h')","('y', 'h', 'x', 'x')"
"('x', 'h', 'y', 'z')","('y', 'h', 'x', 'x')"
"('h', 'z', 'y', 'z')","('y', 'h')"
"('z', 'x', 'z', 'y')","('y', 'x')"
"('h', 'z', 'z', 'x')","('h',)"
"('h', 'z', 'z', 'y')","('h', 'y')"
"('h', 'z', 'z', 'h')",nan
"('h', 'h', 'x', 'x')",nan
"('h', 'x', 'h', 'z')",nan
"('h', 'h', 'x', 'y')","('x', 'y')"
"('h', 'h', 'x', 'z')","('y', 'x', 'z', 'y')"
"('h', 'h', 'x', 'h')","('h', 'z')"
"('h', 'h', 'y', 'x')","('y', 'x')"
"('h', 'h', 'y', 'h')","('y', 'h', 'z', 'z')"
"('y', 'z', 'h', 'x')","('y', 'h', 'z', 'z')"
"('h', 'h', 'y', 'y')","('x', 'x')"
"('h', 'h', 'h', 'z')","('h', 'z')"
"('h', 'h', 'h', 'h')",nan
"('x', 'y', 'y', 'x')",nan
"('h', 'h')",nan
"('z', 'y', 'y')",nan
"('x', 'x')",nan
"('y', 'y')",nan
"('z', 'z')",nan
"('z',)",nan
"('x', 'y', 'z')","('x', 'y')"
"('y', 'z', 'x')","('x', 'y')"
"('z', 'x', 'y')","('x', 'y')"
"('x', 'y', 'z', 'z')","('x', 'y')"
"('y', 'y', 'x', 'y')","('x', 'y')"
"('y', 'x', 'y')","('x', 'z')"
"('h', 'z')","('h', 'z')"
"('z', 'h', 'z')","('h', 'z')"
"('y', 'y', 'x', 'h')","('h', 'z')"
"('y', 'x', 'z')","('y', 'x')"
"('x', 'h', 'y', 'h')","('y', 'x')"
"('h', 'z', 'y', 'h')","('y', 'x')"
"('h', 'x', 'h')",nan
"('z', 'y', 'y', 'z')",nan
"('h', 'y', 'y', 'h')",nan
"('y', 'x', 'x', 'h')","('y', 'h')"
"('z', 'x')","('x',)"
"('h', 'z', 'h')","('x',)"
"('z', 'y')","('y',)"
"('h', 'h', 'z', 'y')","('y',)"
"('z', 'z', 'y', 'y')",nan
"('h', 'x')","('h', 'x')"
"('x', 'x', 'h')","('h', 'x')"
"('z', 'h', 'h', 'h')","('h', 'x')"
"('z', 'h')","('h', 'x')"
"('z', 'h', 'y', 'y')","('h', 'x')"
"('y', 'z', 'h')","('h', 'y')"
"('z', 'y', 'h', 'x')","('h', 'y')"
"('h', 'h', 'h', 'y')","('h', 'y')"
"('x', 'h')","('h', 'z')"
"('x', 'x', 'y')","('z', 'z', 'y')"
"('x', 'x', 'z')",nan
"('z', 'z', 'h', 'x')","('h', 'x')"
"('x', 'y', 'x')","('y', 'z')"
"('y', 'z', 'h', 'h')","('y', 'z')"
"('x', 'y', 'y')","('x',)"
"('z', 'y', 'x')","('y', 'x', 'z')"
"('x', 'z', 'z')","('x',)"
"('x', 'z', 'h')","('h', 'z', 'x')"
"('y', 'x', 'y', 'h')","('h', 'z', 'x')"
"('h', 'z', 'x')","('h', 'z', 'x')"
"('y', 'h', 'z')","('y', 'x', 'h')"
"('x', 'h', 'y')","('y', 'x', 'h')"
"('x', 'h', 'z')","('h',)"
"('h', 'x', 'x')","('h',)"
"('h', 'x', 'h', 'h')","('h',)"
"('h', 'h', 'z', 'h')","('h',)"
"('x', 'h', 'h')","('x', 'x', 'x')"
"('y', 'x', 'y', 'z')","('h', 'z', 'h')"
"('z', 'x', 'y', 'y')","('h', 'z', 'h')"
"('x', 'z', 'y', 'x')","('y', 'h', 'h')"
"('h', 'z', 'h', 'z')","('x', 'z')"
"('x', 'z', 'y')","('y', 'x')"
"('y', 'x', 'h')","('y', 'x', 'h')"
"('x', 'x', 'x')","('h', 'z', 'h')"
"('y', 'y', 'x')","('h', 'z', 'h')"
"('y', 'x', 'x')","('y', 'h', 'h')"
"('y', 'y', 'z')",nan
"('y', 'y', 'h')","('h',)"
"('h', 'y', 'y')","('h',)"
"('x', 'y', 'x', 'x')","('x', 'y')"
"('x', 'z', 'x')","('y', 'z', 'y')"
"('x', 'y', 'x', 'y')","('y', 'z', 'y')"
"('x', 'z', 'x', 'z')","('y', 'z', 'y')"
"('y', 'z', 'z')","('y', 'h', 'h')"
"('z', 'h', 'y')","('h', 'y')"
"('y', 'h', 'x')","('z', 'h', 'y')"
"('h', 'z', 'y', 'x')","('y', 'x', 'h')"
"('y', 'y', 'y')","('y', 'h', 'h')"
"('y', 'h', 'h')","('y', 'h', 'h')"
"('z', 'x', 'x')",nan
"('x', 'y', 'y', 'y')","('x', 'y')"
"('z', 'x', 'z')","('x', 'z')"
"('x', 'x', 'x', 'z')","('x', 'z')"
"('z', 'x', 'h')","('h', 'z')"
"('y', 'x', 'x', 'y')",nan
"('z', 'y', 'z')","('y', 'z')"
"('z', 'h', 'y', 'h')","('y', 'z')"
"('z', 'y', 'h')","('y', 'h')"
"('z', 'z', 'x')","('h', 'z', 'h')"
"('y', 'z', 'x', 'y')","('h', 'z', 'h')"
"('h', 'x', 'z', 'h')","('h', 'z', 'h')"
"('z', 'z', 'y')","('y', 'h', 'h')"
"('h', 'h', 'y')","('y', 'h', 'h')"
"('z', 'y', 'z', 'z')","('y', 'h', 'h')"
"('z', 'h', 'h', 'y')","('y', 'h', 'h')"
"('z', 'z', 'z')",nan
"('h', 'x', 'x', 'h')",nan
"('z', 'z', 'h')","('h',)"
"('h', 'h', 'h')","('h',)"
"('x', 'h', 'z', 'x')","('h', 'x', 'x')"
"('z', 'y', 'y', 'h')","('h', 'x', 'x')"
"('h', 'x', 'y')","('h', 'y')"
"('h', 'y', 'x', 'x')","('h', 'y')"
"('x', 'y', 'y', 'h')","('h', 'z')"
"('z', 'h', 'x', 'z')","('h', 'z')"
"('h', 'z', 'z', 'z')","('h', 'z')"
"('x', 'h', 'z', 'h')",nan
"('z', 'h', 'h')",nan
"('z', 'h', 'x')","('h',)"
"('h', 'y', 'z', 'z')","('h', 'y')"
"('h', 'x', 'z')","('h', 'z')"
"('z', 'z', 'x', 'x')",nan
"('h', 'y', 'x')","('y', 'h')"
"('y', 'h', 'y', 'y')","('y', 'h')"
"('z', 'x', 'x', 'h')","('h',)"
"('h', 'y', 'z')","('x', 'y', 'h')"
"('h', 'z', 'x', 'y')","('x', 'y', 'h')"
"('h', 'y', 'h')","('y', 'z')"
"('x', 'y', 'z', 'x')","('y', 'z')"
"('x', 'h', 'x')","('h', 'z', 'x')"
"('z', 'x', 'h', 'x')","('h', 'z', 'x')"
"('h', 'z', 'y')","('y', 'x', 'h')"
"('h', 'z', 'z')","('h',)"
"('h', 'h', 'x')","('x',)"
"('z', 'y', 'y', 'y')","('y', 'h', 'h')"
"('z', 'y', 'h', 'h')","('y', 'h', 'h')"
"('h', 'h', 'z')",nan
"('x', 'x', 'x', 'x')","('y', 'z', 'z', 'y')"
"('x', 'x', 'x', 'h')","('h', 'z')"
"('x', 'x', 'y', 'x')","('y', 'x')"
"('x', 'x', 'y', 'y')",nan
"('x', 'z', 'z', 'x')",nan
"('y', 'z', 'z', 'z')","('y', 'z', 'h', 'h')"
"('x', 'x', 'z', 'x')","('x',)"
"('z', 'y', 'y', 'x')","('x',)"
"('x', 'x', 'z', 'y')","('y', 'h', 'h')"
"('x', 'x', 'z', 'z')",nan
"('x', 'x', 'z', 'h')","('h', 'x')"
"('x', 'x', 'h', 'x')","('h',)"
"('x', 'x', 'h', 'y')","('h', 'y')"
"('x', 'x', 'h', 'z')","('z', 'h', 'x', 'z')"
"('y', 'y', 'h', 'h')","('x', 'h', 'z', 'h')"
"('x', 'y', 'x', 'z')","('y', 'h', 'h')"
"('h', 'y', 'h', 'h')","('x', 'y', 'h', 'z')"
"('z', 'y', 'x', 'y')","('h', 'z', 'h', 'z')"
"('x', 'y', 'y', 'z')","('h', 'z', 'h', 'z')"
"('x', 'y', 'z', 'y')","('x',)"
"('x', 'y', 'z', 'h')","('h', 'y', 'z')"
"('x', 'y', 'h', 'y')","('h', 'z', 'x')"
"('x', 'y', 'h', 'z')","('h', 'y')"
"('x', 'y', 'h', 'h')","('x', 'y')"
"('x', 'x', 'x', 'y')","('x', 'y')"
"('x', 'z', 'x', 'x')","('y', 'y', 'x', 'z')"
"('y', 'h', 'x', 'h')","('y', 'h', 'x', 'h')"
"('h', 'x', 'y', 'h')","('y', 'h', 'x', 'h')"
"('h', 'y', 'h', 'y')","('y', 'z', 'y')"
"('x', 'z', 'x', 'h')","('y', 'h', 'y')"
"('h', 'y', 'x', 'y')","('y', 'h', 'y')"
"('y', 'y', 'x', 'z')","('h', 'z', 'h', 'z')"
"('x', 'z', 'y', 'y')","('x', 'z')"
"('x', 'z', 'y', 'z')","('z', 'y', 'x')"
"('x', 'z', 'y', 'h')","('y', 'x', 'h')"
"('y', 'h', 'h', 'y')",nan
"('x', 'z', 'z', 'y')","('x', 'y')"
"('x', 'z', 'z', 'z')","('x', 'z')"
"('x', 'z', 'h', 'h')","('x', 'z')"
"('x', 'z', 'z', 'h')","('x', 'h', 'z', 'z')"
"('x', 'h', 'x', 'x')","('z', 'h', 'x', 'z')"
"('x', 'z', 'h', 'x')","('h', 'z')"
"('x', 'z', 'h', 'y')","('y', 'h', 'x', 'z')"
"('y', 'z', 'y', 'h')","('h', 'z', 'x', 'z')"
"('y', 'h', 'y', 'x')","('h', 'z', 'x', 'z')"
"('x', 'z', 'h', 'z')","('h', 'z', 'x', 'z')"
"('x', 'y', 'h', 'x')","('x', 'z', 'h', 'y')"
"('x', 'h', 'x', 'y')","('h', 'y', 'z')"
"('h', 'x', 'y', 'z')","('h', 'y', 'z')"
"('x', 'h', 'x', 'z')","('y', 'h', 'y')"
"('h', 'z', 'x', 'z')","('y', 'h', 'y')"
"('x', 'h', 'y', 'x')","('y', 'x', 'h')"
"('x', 'h', 'y', 'y')","('h', 'z')"
"('y', 'h', 'h', 'x')","('y', 'x')"
"('x', 'h', 'z', 'y')","('h', 'y')"
"('x', 'h', 'z', 'z')","('h', 'z')"
"('x', 'x', 'h', 'h')",nan
"('y', 'z', 'x', 'z')","('z', 'y', 'z', 'x')"
"('x', 'h', 'x', 'h')","('y', 'y', 'x', 'z')"
"('x', 'h', 'h', 'h')","('h', 'z')"
"('y', 'x', 'x', 'x')","('y', 'x')"
"('y', 'h', 'z', 'z')","('y', 'h')"
"('y', 'x', 'y', 'x')","('x', 'z', 'x')"
"('y', 'x', 'y', 'y')","('y', 'x', 'z')"
"('y', 'x', 'z', 'x')","('z', 'y', 'z', 'z')"
"('y', 'z', 'y', 'x')","('y', 'x', 'z', 'y')"
"('y', 'x', 'z', 'y')","('y', 'x', 'z', 'y')"
"('y', 'x', 'z', 'z')","('h', 'z', 'y', 'h')"
"('y', 'x', 'z', 'h')","('y', 'x', 'h')"
"('h', 'y', 'x', 'z')","('h', 'z', 'y', 'x')"
"('y', 'x', 'h', 'x')","('y', 'x', 'h')"
"('y', 'x', 'h', 'z')","('y', 'h', 'x', 'x')"
"('y', 'y', 'y', 'h')","('y', 'h', 'z', 'z')"
"('y', 'y', 'x', 'x')",nan
"('z', 'x', 'y', 'z')","('x', 'y')"
"('x', 'h', 'h', 'z')","('h', 'z', 'h', 'z')"
"('y', 'y', 'y', 'x')","('y', 'x')"
"('y', 'h', 'z', 'h')","('y', 'x')"
"('x', 'h', 'h', 'x')","('y', 'y', 'z', 'z')"
"('y', 'y', 'z', 'x')","('x',)"
"('y', 'y', 'z', 'y')","('y', 'h', 'h')"
"('y', 'y', 'z', 'z')","('y', 'y', 'z', 'z')"
"('y', 'y', 'y', 'y')","('y', 'y', 'z', 'z')"
"('y', 'y', 'h', 'x')","('h',)"
"('y', 'y', 'h', 'z')","('h', 'z')"
